ovvero	cioè/oppure	La parola ovvero è ambigua: sostituiscila con cioè o oppure a seconda di quello che volevi dire.	generic
[Pp]iuttosto che	invece di	Piuttosto che ormai può voler dire “invece di” o, nella lingua parlata, “oppure”. Meglio sostituirlo con un’espressione meno ambigua.	generic
